씬ID(sceneId),선택지번호(choiceIndex),선택지텍스트(text),반응강조캐릭터(reactionActiveCharacters),반응하는캐릭터(reactionSpeaker),반응텍스트(reactionText),표시캐릭터1(reactionChar_left),표시캐릭터1표정(reactionEmotion_left),표시캐릭터2(reactionChar_center),표시캐릭터2표정(reactionEmotion_center),표시캐릭터3(reactionChar_right),표시캐릭터3표정(reactionEmotion_right),다음씬ID(nextSceneId),affectioncharacter1,affectionValue1,affectioncharacter2,affectionValue2,표시조건(show_if),명령어(command)
scenejan2_72_choice,2,"싫어요, 나 하고 싶은 대로 할 거예요. 당신 말마따나 난 혼자서 잘 해요",,,,mendelssohn,default,,,,,scenejan2_74,,,,,,
scenejan2_72_choice,3,"알겠어요, 앞으로는 좀 더 조심할게요…",mendelssohn,mendelssohn,"그래요. 아무리 베시에르 양이 프랑스 사람이라서 저보다 더 잘 안다고 하셔도, 이번 일은 정말 위험했어요.",mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan2_72_choice,4,그렇게 걱정되면 멘델스존 씨가 나랑 붙어다니면서 지켜주면 되겠네요,,,,mendelssohn,default,,,,,scenejan2_75,mendelssohn,1,,,,
scenejan2_76_choice,1,고마워요,,,,mendelssohn,default,,,,,scenejan2_77,,,,,,
scenejan2_76_choice,2,"정말 멘델스존 씨 뿐이에요, 사랑해요!",,,,mendelssohn,default,,,,,scenejan2_77,mendelssohn,1,,,,
scenejan2_76_choice,3,영광이에요!,,,,mendelssohn,default,,,,,scenejan2_77,,,,,,
scenejan2_78_choice,1,"헛소리 하지 마, 저 사람이 뭘 뺏었는데",mendelssohn,mendelssohn,"괜찮습니다, 익숙해요. 제가 상대하겠습니다.",mendelssohn,default,,,,,scenejan2_80,,,,,,
scenejan2_78_choice,2,"뭘 알고 말해, 유대인이 뭘 그렇게 잘못했는데",,,,mendelssohn,default,,,,,scenejan2_79,mendelssohn,3,,,,
scenejan2_78_choice,3,"저런 말 듣지 마요, 들을 가치도 없어요",mendelssohn,mendelssohn,"괜찮습니다, 익숙해요. 제가 상대하겠습니다.",mendelssohn,default,,,,,scenejan2_80,,,,,,
scenejan2_80_choice,1,보조한다,,,,mendelssohn,default,,,,,scenejan2_81,,,,,,set gun as 1
scenejan2_80_choice,2,말린다,,,,mendelssohn,default,,,,,scenejan2_82,mendelssohn,1,,,,set gun as 0
scenejan2_82_choice,1,멋졌어요,,,,mendelssohn,default,,,,,scenejan2_821,,,,,,
scenejan2_82_choice,2,다음부터는 그러지 마세요,,,,mendelssohn,default,,,,,scenejan2_822,mendelssohn,1,,,,
scenejan2_82_choice,3,무서운 사람이었네요,,,,mendelssohn,default,,,,,scenejan2_823,,,,,,
scenejan2_83_choice,1,손수건을 꺼내서 지혈을 해 준다,,,,mendelssohn,default,,,,,scenejan2_85,mendelssohn,1,,,,set handkerchief as 1
scenejan2_83_choice,2,가만히 있는다,,,,mendelssohn,default,,,,,scenejan2_86,,,,,,set handkerchief as 0
scenejan2_95_choice,1,내년에는 제대로 속여 줄 테니까 기대하세요,,,,mendelssohn,default,,,,,scenejan2_96,mendelssohn,1,,,,
scenejan2_95_choice,2,이 치욕은 꼭 설욕해드리겠어요,,,,mendelssohn,default,,,,,scenejan2_97,,,,,,
scenejan2_95_choice,3,덕분에 고마우려다가 말았네요,,,,mendelssohn,default,,,,,scenejan2_98,mendelssohn,-1,,,,
scenejan2_82_1_choice,1,멋졌어요,,,,mendelssohn,default,,,,,scenejan2_821_1,,,,,,
scenejan2_82_1_choice,2,다음부터는 그러지 마세요,,,,mendelssohn,default,,,,,scenejan2_822_1,mendelssohn,1,,,,
scenejan2_82_1_choice,3,무서운 사람이었네요,,,,mendelssohn,default,,,,,scenejan2_823_1,,,,,,
scenejan2_200_choice,1,멘델스존의 초대를 받아들인다,,,"그래, 이거라도 즐거야지... 당신은 긍정의 답신을 보낸다.",,,,,,,scenejan2_300,mendelssohn,1,,,,
scenejan2_200_choice,2,멘델스존의 초대를 거절한다,,,,,,,,,,scenejan2_skip,mendelssohn,-1,,,,
scenejan2_300_choice,1,입을 꾹 닫고 필요한 말만 한다,,,당신의 불편한 침묵을 느꼈는지 멘델스존도 가시방석인 듯했다. 그는 당신의 몫까지 능란하게 대화를 주도하며 분위기를 띄우려고 애썼다.,mendelssohn,default,,,,,,mendelssohn,-1,,,,
scenejan2_300_choice,2,최대한 사근사근하게 응대한다,,,…그래도 기가 빨리는 것은 어쩔 수 없었다.,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan2_75_choice,1,너무해요!,mendelssohn,mendelssohn,"당연한 겁니다, 베시에르 양. 행동에 대한 책임을 지셔야죠.",,,,,,,,,,,,,
scenejan2_75_choice,2,알겠어요... 어쩔 수 없죠.,mendelssohn,mendelssohn,...저라고 좋아서 이러는 건 아닙니다.,,,,,,,,,,,,,
scenejan2_75_choice,3,한 번만 봐 주면 안 돼요?,mendelssohn,mendelssohn,"저도 그러고 싶지만, 안전 문제는 후견인이 모르고 지나가서는 안 됩니다.",,,,,,,,,,,,,
